ano,Desemprego,Expectativa_vida,PIB_Total,PIB_per_capita,casos_covid_ano
2019,11.936,75.809,1873288205186.45,9029.83326742175,0
2020,13.697,74.506,1476107231194.11,7074.19378281866,7700828
2021,13.158,73.038,1670647399034.67,7972.53665048385,14610807
2022,9.231,74.872,1951923942083.32,9281.33334441234,14039578
2023,7.947,75.848,2173665655937.27,10294.866680778,750855
