ano,Desemprego,Expectativa_vida,PIB_Total,PIB_per_capita,casos_covid_ano
2019,25.34,75.811,17133500000.0,3656.85827137011,0
2020,25.895,74.998,15531700000.0,3233.56863835858,0
2021,26.39,73.89,18109000000.0,3678.63565662194,0
2022,24.42,76.662,19165500000.0,3799.95527015163,0
2023,-,65.17,17420800000.0,3372.34974423005,0
