ano,Desemprego,Expectativa_vida,PIB_Total,PIB_per_capita,casos_covid_ano
2019,1.681,74.211,334365270496.667,3440.90025375434,0
2020,2.103,75.383,346615738537.796,3534.03953482647,0
2021,2.385,74.145,366474752771.009,3704.1935590038,0
2022,1.523,74.502,410324028883.325,4116.38576094153,0
2023,1.645,74.588,429716969043.572,4282.08851724506,0
