ano,Desemprego,Expectativa_vida,PIB_Total,PIB_per_capita,casos_covid_ano
2019,8.836,77.503,62222325807.0578,18315.7352857194,0
2020,10.413,78.381,53668636567.8667,15789.6857422214,19140
2021,9.328,75.434,60760798595.5436,17888.211510172,394264
2022,7.877,76.468,70164683290.3776,20691.9738991763,598605
2023,8.355,78.138,77240830877.4597,22797.8111731861,22315
