ano,Desemprego,Expectativa_vida,PIB_Total,PIB_per_capita,casos_covid_ano
2019,4.513,73.0839024390244,1693115002708.32,11447.701171875,0
2020,5.62,71.3387804878049,1493075894362.14,10108.3271484375,0
2021,4.749,69.900243902439,1843392293734.38,12521.5224609375,0
2022,3.867,72.5456097560976,2266029240645.34,15445.2421875,0
2023,3.076,73.2546341463415,2021421476035.42,13817.0458984375,0
